,Gorgan,Semnan,Sari,Rasht,Qazvin,Karaj,Tehran,Varamin,Robatkarim,Islamshahr,Shahriar,Gom,Arak,Isfahan,Kashan
Water,"(205.0, 0.0, 957.4, 0.0)","(0.0, 0.0, 1024.4, 0.0)","(0.0, 296.4, 764.4, 0.0)","(0.0, 388.4, 815.4, 0.0)","(0.0, 648.4, 895.4, 0.0)","(0.0, 524.4, 0.0, 0.0)",-,"(0.0, 0.0, 972.4, 0.0)",-,-,"(0.0, 629.4, 0.0, 0.0)","(0.0, 589.4, 866.4, 0.0)",-,"(0.0, 592.4, 63.4, 0.0)","(0.0, 0.0, 1023.4, 0.0)"
Food,"(0.0, 658.4, 957.4, 0.0)","(0.0, 748.4, 1024.4, 0.0)","(0.0, 296.4, 764.4, 0.0)","(0.0, 388.4, 815.4, 0.0)","(0.0, 648.4, 895.4, 0.0)","(0.0, 524.4, 0.0, 0.0)",-,"(0.0, 714.4, 0.0, 0.0)",-,-,"(0.0, 629.4, 0.0, 0.0)","(0.0, 589.4, 0.0, 0.0)",-,"(0.0, 592.4, 63.4, 0.0)","(0.0, 0.0, 1023.4, 0.0)"
Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
