,Gorgan,Semnan,Sari,Rasht,Qazvin,Karaj,Tehran,Varamin,Robatkarim,Islamshahr,Shahriar,Gom,Arak,Isfahan,Kashan
Water,"(524.0, 159.0, 1053.4, 287.0)","(34.0, 69.0, 1053.4, 57.0)","(524.0, 817.4, 1053.4, 579.0)","(524.0, 817.4, 1053.4, 476.0)","(68.0, 817.4, 1053.4, 113.0)","(0.0, 817.4, 222.0, 256.0)","(0.0, 817.4, 1053.4, 738.4)","(0.0, 103.0, 1053.4, 76.0)","(0.0, 138.0, 100.0, 94.0)","(0.0, 98.0, 76.0, 67.0)","(0.0, 817.4, 177.0, 146.0)","(0.0, 817.4, 1053.4, 166.0)","(0.0, 22.0, 75.0, 22.0)","(0.0, 817.4, 1053.4, 225.0)","(0.0, 30.0, 1053.4, 21.0)"
Food,"(273.8, 817.4, 1053.4, 287.0)","(34.0, 817.4, 1053.4, 57.0)","(273.8, 817.4, 1053.4, 579.0)","(273.8, 817.4, 1053.4, 476.0)","(68.0, 817.4, 1053.4, 113.0)","(0.0, 817.4, 222.0, 256.0)","(0.0, 817.4, 1053.4, 738.4)","(0.0, 817.4, 81.0, 76.0)","(0.0, 138.0, 0.0, 94.0)","(0.0, 98.0, 76.0, 67.0)","(0.0, 817.4, 177.0, 146.0)","(0.0, 817.4, 187.0, 166.0)","(0.0, 22.0, 0.0, 22.0)","(0.0, 817.4, 1053.4, 225.0)","(0.0, 30.0, 1053.4, 21.0)"
Shelter,"(106.0, 53.0, 32.0, 96.0)","(11.0, 23.0, 10.0, 19.0)","(193.0, 174.0, 96.0, 193.0)","(175.0, 143.0, 79.0, 159.0)","(23.0, 56.0, 53.0, 38.0)","(0.0, 98.0, 74.0, 85.0)","(0.0, 350.8, 350.8, 284.8)","(0.0, 34.0, 27.0, 25.0)","(0.0, 46.0, 33.0, 31.0)","(0.0, 33.0, 25.0, 22.0)","(0.0, 63.0, 59.0, 49.0)","(0.0, 76.0, 62.0, 55.0)","(0.0, 7.0, 25.0, 7.0)","(0.0, 75.0, 330.0, 75.0)","(0.0, 10.0, 10.0, 7.0)"
