,Gorgan,Semnan,Sari,Rasht,Qazvin,Karaj,Tehran,Varamin,Robatkarim,Islamshahr,Shahriar,Gom,Arak,Isfahan,Kashan
RDC,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
CS,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0
