,w,Obj1,Obj2,weighted-sum
0,0.0,180700.9436,1363.92,1363.92
1,0.1,18718.5022,2138.47,3796.4732
2,0.2,18013.5829,2118.84,5297.7886
3,0.30000000000000004,17782.6741,2317.87,6957.3112
4,0.4,17611.6564,2392.75,8480.3126
5,0.5,17616.1931,2278.87,9947.5315
6,0.6000000000000001,17549.9,2455.15,11512.0
7,0.7000000000000001,17562.9897,2357.65,13001.3878
8,0.8,17557.3509,2377.54,14521.3887
9,0.9,17554.8447,2390.8,16038.4402
10,1.0,17549.9,2455.15,17549.9
