Obj1*: 17549.9, Obj2*: 1363.9199999999998 

w: 0.1, Obj1: 41532.8434, Obj2: 1551.54, lp-metric: 0.2605 
w: 0.2, Obj1: 28737.8227, Obj2: 1653.1819, lp-metric: 0.2972 
w: 0.30000000000000004, Obj1: 24167.7728, Obj2: 1737.6311, lp-metric: 0.3049 
w: 0.4, Obj1: 20719.8217, Obj2: 1864.3808, lp-metric: 0.2924 
w: 0.5, Obj1: 20327.069, Obj2: 2002.62, lp-metric: 0.3133 
w: 0.6000000000000001, Obj1: 18643.5926, Obj2: 2011.9806, lp-metric: 0.2274 
w: 0.7000000000000001, Obj1: 18111.5798, Obj2: 2095.4404, lp-metric: 0.1833 
w: 0.8, Obj1: 17844.7266, Obj2: 2165.2516, lp-metric: 0.1309 
w: 0.9, Obj1: 17632.1978, Obj2: 2265.6105, lp-metric: 0.0703 
w: 1.0, Obj1: 17549.9, Obj2: 2455.15, lp-metric: 0.0 
