w: 0.1, Obj1: 18718.5022, Obj2: 2138.47, weighted-sum: 3796.4732 
w: 0.2, Obj1: 18013.5829, Obj2: 2118.84, weighted-sum: 5297.7886 
w: 0.30000000000000004, Obj1: 17782.6741, Obj2: 2317.87, weighted-sum: 6957.3112 
w: 0.4, Obj1: 17611.6564, Obj2: 2392.75, weighted-sum: 8480.3126 
w: 0.5, Obj1: 17616.1931, Obj2: 2278.87, weighted-sum: 9947.5315 
w: 0.6000000000000001, Obj1: 17549.9, Obj2: 2455.15, weighted-sum: 11512.0 
w: 0.7000000000000001, Obj1: 17562.9897, Obj2: 2357.65, weighted-sum: 13001.3878 
w: 0.8, Obj1: 17557.3509, Obj2: 2377.54, weighted-sum: 14521.3887 
w: 0.9, Obj1: 17554.8447, Obj2: 2390.8, weighted-sum: 16038.4402 
w: 1.0, Obj1: 17549.9, Obj2: 2455.15, weighted-sum: 17549.9 
